anio,delito,cantidad
2008,Ley 23.737 (estupefacientes),30003
2008,Muertes en accidentes viales,3997
2008,Otros delitos contra la integridad sexual,6994
2008,Otros delitos contra la libertad,14914
2008,Otros delitos contra la propiedad,86661
2008,Otros delitos contra las personas,29335
2008,Otros delitos previstos en leyes especiales,30986
2008,Robos (excluye los agravados por el resultado de lesiones y/o muertes),361716
2008,Robos agravados por el resultado de lesiones y/o muertes ,10048
2008,Suicidios (consumados),3127
2008,Tentativas de hurto,11380
2008,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),25116
2008,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1485
2009,Abusos sexuales con acceso carnal (violaciones),4386
2009,Amenazas,141543
2009,Contravenciones,99126
2009,Delitos contra el estado civil,168
2009,Delitos contra el honor,340
2009,Delitos contra el orden público,1404
2009,Delitos contra la administración pública,23537
2009,Delitos contra la fe pública,4198
2009,Delitos contra la seguridad de la nación,41
2009,Delitos contra la seguridad pública,21978
2009,Delitos contra los poderes públicos y el orden constitucional,164
2009,Homicidios culposos por otros hechos,937
2009,Homicidios dolosos,2616
2009,Homicidios dolosos en grado de tentativa,1232
2009,Hurtos,271860
2009,Lesiones culposas en Accidentes Viales,99233
2009,Lesiones culposas por otros hechos,17621
2009,Lesiones dolosas,151408
2009,Ley 23.737 (estupefacientes),38996
2009,Muertes en accidentes viales,3483
2009,Otros delitos contra la integridad sexual,7615
2009,Otros delitos contra la libertad,9576
2009,Otros delitos contra la propiedad,91413
2009,Otros delitos contra las personas,29097
2009,Otros delitos previstos en leyes especiales,29270
2009,Robos (excluye los agravados por el resultado de lesiones y/o muertes),367975
2009,Robos agravados por el resultado de lesiones y/o muertes ,8200
2009,Suicidios (consumados),3069
2009,Tentativas de hurto,6519
2009,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),15340
2009,Tentativas de robo agravado por el resultado de lesiones y/o muertes,567
2010,Abusos sexuales con acceso carnal (violaciones),4278
2010,Amenazas,140877
2010,Contravenciones,97594
2010,Delitos contra el estado civil,119
2010,Delitos contra el honor,236
2010,Delitos contra el orden público,1249
2010,Delitos contra la administración pública,23866
2010,Delitos contra la fe pública,4446
2010,Delitos contra la seguridad de la nación,33
2010,Delitos contra la seguridad pública,22044
2010,Delitos contra los poderes públicos y el orden constitucional,157
2010,Homicidios culposos por otros hechos,706
2010,Homicidios dolosos,2345
2010,Homicidios dolosos en grado de tentativa,1201
2010,Hurtos,266043
2010,Lesiones culposas en Accidentes Viales,95876
2010,Lesiones culposas por otros hechos,19499
2010,Lesiones dolosas,148376
2010,Ley 23.737 (estupefacientes),39730
2010,Muertes en accidentes viales,3571
2010,Otros delitos contra la integridad sexual,8039
2010,Otros delitos contra la libertad,10415
2010,Otros delitos contra la propiedad,91575
2010,Otros delitos contra las personas,30098
2010,Otros delitos previstos en leyes especiales,29502
2010,Robos (excluye los agravados por el resultado de lesiones y/o muertes),372723
2010,Robos agravados por el resultado de lesiones y/o muertes ,6918
2010,Suicidios (consumados),3068
2010,Tentativas de hurto,6684
2010,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),15946
2010,Tentativas de robo agravado por el resultado de lesiones y/o muertes,509
2011,Abusos sexuales con acceso carnal (violaciones),4224
2011,Amenazas,157264
2011,Contravenciones,91448
2011,Delitos contra el estado civil,88
2011,Delitos contra el honor,312
2011,Delitos contra el orden público,1271
2011,Delitos contra la administración pública,24492
2011,Delitos contra la fe pública,4107
2011,Delitos contra la seguridad de la nación,45
2011,Delitos contra la seguridad pública,24276
2011,Delitos contra los poderes públicos y el orden constitucional,152
2011,Homicidios culposos por otros hechos,938
2011,Homicidios dolosos,2471
2011,Homicidios dolosos en grado de tentativa,1407
2011,Hurtos,263701
2011,Lesiones culposas en Accidentes Viales,95111
2011,Lesiones culposas por otros hechos,24185
2011,Lesiones dolosas,165148
2011,Ley 23.737 (estupefacientes),39176
2011,Muertes en accidentes viales,3793
2011,Otros delitos contra la integridad sexual,8466
2011,Otros delitos contra la libertad,10910
2011,Otros delitos contra la propiedad,93217
2011,Otros delitos contra las personas,32740
2011,Otros delitos previstos en leyes especiales,33725
2011,Robos (excluye los agravados por el resultado de lesiones y/o muertes),392641
2011,Robos agravados por el resultado de lesiones y/o muertes ,6475
2011,Suicidios (consumados),3103
2011,Tentativas de hurto,6328
2011,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),15779
2011,Tentativas de robo agravado por el resultado de lesiones y/o muertes,556
2012,Abusos sexuales con acceso carnal (violaciones),4314
2012,Amenazas,171952
2012,Contravenciones,109532
2012,Delitos contra el estado civil,96
2012,Delitos contra el honor,442
2012,Delitos contra el orden público,5001
2012,Delitos contra la administración pública,27595
2012,Delitos contra la fe pública,7706
2012,Delitos contra la seguridad de la nación,442
2012,Delitos contra la seguridad pública,25392
2012,Delitos contra los poderes públicos y el orden constitucional,119
2012,Homicidios culposos por otros hechos,1111
2012,Homicidios dolosos,2628
2012,Homicidios dolosos en grado de tentativa,1496
2012,Hurtos,273490
2012,Lesiones culposas en Accidentes Viales,89736
2012,Lesiones culposas por otros hechos,26360
2012,Lesiones dolosas,165530
2012,Ley 23.737 (estupefacientes),36179
2012,Muertes en accidentes viales,3502
2012,Otros delitos contra la integridad sexual,8506
2012,Otros delitos contra la libertad,10616
2012,Otros delitos contra la propiedad,95477
2012,Otros delitos contra las personas,35970
2012,Otros delitos previstos en leyes especiales,29655
2012,Robos (excluye los agravados por el resultado de lesiones y/o muertes),419171
2012,Robos agravados por el resultado de lesiones y/o muertes ,6616
2012,Suicidios (consumados),3018
2012,Tentativas de hurto,6577
2012,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),17029
2012,Tentativas de robo agravado por el resultado de lesiones y/o muertes,738
2013,Abusos sexuales con acceso carnal (violaciones),4279
2013,Amenazas,181085
2013,Contravenciones,103947
2013,Delitos contra el estado civil,112
2013,Delitos contra el honor,602
2013,Delitos contra el orden público,6870
2013,Delitos contra la administración pública,30417
2013,Delitos contra la fe pública,7169
2013,Delitos contra la seguridad de la nación,88
2013,Delitos contra la seguridad pública,27212
2013,Delitos contra los poderes públicos y el orden constitucional,192
2013,Homicidios culposos por otros hechos,920
2013,Homicidios dolosos,3125
2013,Homicidios dolosos en grado de tentativa,1590
2013,Hurtos,270312
2013,Lesiones culposas en Accidentes Viales,85777
2013,Lesiones culposas por otros hechos,28235
2013,Lesiones dolosas,161403
2013,Ley 23.737 (estupefacientes),35557
2013,Muertes en accidentes viales,3957
2013,Otros delitos contra la integridad sexual,9551
2013,Otros delitos contra la libertad,9586
2013,Otros delitos contra la propiedad,98100
2013,Otros delitos contra las personas,40909
2013,Otros delitos previstos en leyes especiales,34633
2013,Robos (excluye los agravados por el resultado de lesiones y/o muertes),426600
2013,Robos agravados por el resultado de lesiones y/o muertes ,7206
2013,Suicidios (consumados),2998
2013,Tentativas de hurto,6201
2013,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),17786
2013,Tentativas de robo agravado por el resultado de lesiones y/o muertes,645
2014,Abusos sexuales con acceso carnal (violaciones),3748
2014,Amenazas,184844
2014,Contravenciones,110581
2014,Delitos contra el estado civil,212
2014,Delitos contra el honor,846
2014,Delitos contra el orden público,15185
2014,Delitos contra la administración pública,28374
2014,Delitos contra la fe pública,6820
2014,Delitos contra la seguridad de la nación,93
2014,Delitos contra la seguridad pública,7971
2014,Delitos contra los poderes públicos y el orden constitucional,585
2014,Homicidios culposos por otros hechos,1496
2014,Homicidios dolosos,3202
2014,Homicidios dolosos en grado de tentativa,1776
2014,Hurtos,278394
2014,Lesiones culposas en Accidentes Viales,79478
2014,Lesiones culposas por otros hechos,27475
2014,Lesiones dolosas,170921
2014,Ley 23.737 (estupefacientes),30796
2014,Muertes en accidentes viales,3627
2014,Otros delitos contra la integridad sexual,9498
2014,Otros delitos contra la libertad,10530
2014,Otros delitos contra la propiedad,104841
