anio,delito,cantidad
2008,Delito 15,361716.0
2009,Delito 15,367975.0
2010,Delito 15,372723.0
2011,Delito 15,392641.0
2012,Delito 15,419171.0
2013,Delito 15,426600.0
2014,Delito 15,448317.0
2015,Delito 15,419305.0
2016,Delito 15,420589.0
2017,Delito 15,393367.0
2018,Delito 15,415256.0
2019,Delito 15,472655.0
2020,Delito 15,336222.0
2021,Delito 15,370467.0
2022,Delito 15,396930.0
2023,Delito 15,455271.0
2024,Delito 15,460618.0
2000,Delito 16,21223.0
2001,Delito 16,19898.0
2002,Delito 16,25500.0
2003,Delito 16,21547.0
2004,Delito 16,21468.0
2005,Delito 16,20767.0
2006,Delito 16,21061.0
2007,Delito 16,21846.0
2008,Delito 16,25116.0
2009,Delito 16,15340.0
2010,Delito 16,15946.0
2011,Delito 16,15779.0
2012,Delito 16,17029.0
2013,Delito 16,17786.0
2014,Delito 16,29380.0
2015,Delito 16,28406.0
2016,Delito 16,30095.0
2017,Delito 16,29100.0
2018,Delito 16,29011.0
2019,Delito 16,28579.0
2020,Delito 16,24912.0
2021,Delito 16,24688.0
2022,Delito 16,24661.0
2023,Delito 16,32503.0
2024,Delito 16,35320.0
2000,Delito 17,14819.0
2001,Delito 17,16029.0
2002,Delito 17,17906.0
2003,Delito 17,16552.0
2004,Delito 17,11157.0
2005,Delito 17,10823.0
2006,Delito 17,12605.0
2007,Delito 17,12797.0
2008,Delito 17,10048.0
2009,Delito 17,8200.0
2010,Delito 17,6918.0
2011,Delito 17,6475.0
2012,Delito 17,6616.0
2013,Delito 17,7206.0
2014,Delito 17,8703.0
2015,Delito 17,8175.0
2016,Delito 17,9254.0
2017,Delito 17,9535.0
2018,Delito 17,8821.0
2019,Delito 17,6960.0
2020,Delito 17,4015.0
2021,Delito 17,5373.0
2022,Delito 17,5699.0
2023,Delito 17,4815.0
2024,Delito 17,5750.0
2000,Delito 18,2541.0
2001,Delito 18,2082.0
2002,Delito 18,3015.0
2003,Delito 18,2216.0
2004,Delito 18,1737.0
2005,Delito 18,1475.0
2006,Delito 18,1761.0
2007,Delito 18,1315.0
2008,Delito 18,1485.0
2009,Delito 18,567.0
2010,Delito 18,509.0
2011,Delito 18,556.0
2012,Delito 18,738.0
2013,Delito 18,645.0
2014,Delito 18,1412.0
2015,Delito 18,1054.0
2016,Delito 18,992.0
2017,Delito 18,1168.0
2018,Delito 18,1310.0
2019,Delito 18,1423.0
2020,Delito 18,1322.0
2021,Delito 18,1477.0
2022,Delito 18,1403.0
2023,Delito 18,1469.0
2024,Delito 18,1427.0
2000,Delito 19,293888.0
2001,Delito 19,304122.0
2002,Delito 19,372905.0
2003,Delito 19,334916.0
2004,Delito 19,316886.0
2005,Delito 19,292455.0
2006,Delito 19,280619.0
2007,Delito 19,248510.0
2008,Delito 19,272825.0
2009,Delito 19,271860.0
2010,Delito 19,266043.0
2011,Delito 19,263701.0
2012,Delito 19,273490.0
2013,Delito 19,270312.0
2014,Delito 19,278394.0
2015,Delito 19,260471.0
2016,Delito 19,265889.0
2017,Delito 19,252807.0
2018,Delito 19,276745.0
2019,Delito 19,334016.0
2020,Delito 19,231121.0
2021,Delito 19,271324.0
2022,Delito 19,313767.0
2023,Delito 19,366516.0
2024,Delito 19,376498.0
2000,Delito 20,11432.0
2001,Delito 20,10594.0
2002,Delito 20,13813.0
2003,Delito 20,11070.0
2004,Delito 20,11332.0
2005,Delito 20,11214.0
2006,Delito 20,11422.0
2007,Delito 20,16287.0
2008,Delito 20,11380.0
2009,Delito 20,6519.0
2010,Delito 20,6684.0
2011,Delito 20,6328.0
2012,Delito 20,6577.0
2013,Delito 20,6201.0
2014,Delito 20,11438.0
2015,Delito 20,9472.0
2016,Delito 20,10333.0
2017,Delito 20,10214.0
2018,Delito 20,11832.0
2019,Delito 20,13582.0
2020,Delito 20,11208.0
2021,Delito 20,11454.0
2022,Delito 20,12404.0
2023,Delito 20,17211.0
2024,Delito 20,20358.0
2000,Delito 21,89175.0
2001,Delito 21,84334.0
2002,Delito 21,80247.0
2003,Delito 21,76862.0
2004,Delito 21,77755.0
2005,Delito 21,80249.0
2006,Delito 21,83264.0
2007,Delito 21,79509.0
2008,Delito 21,86661.0
2009,Delito 21,91413.0
2010,Delito 21,91575.0
2011,Delito 21,93217.0
2012,Delito 21,95477.0
2013,Delito 21,98100.0
2014,Delito 21,104841.0
2015,Delito 21,104360.0
2016,Delito 21,101189.0
2017,Delito 21,104043.0
2018,Delito 21,109635.0
2019,Delito 21,125537.0
2020,Delito 21,124898.0
2021,Delito 21,160497.0
2022,Delito 21,186154.0
2023,Delito 21,211422.0
2024,Delito 21,234461.0
2000,Delito 22,5147.0
2001,Delito 22,5736.0
