anio,provincia,delito,cantidad
2000,Neuquén,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),580
2000,Neuquén,Tentativas de robo agravado por el resultado de lesiones y/o muertes,53
2000,Río Negro,Abusos sexuales con acceso carnal (violaciones),87
2000,Río Negro,Amenazas,1547
2000,Río Negro,Contravenciones,0
2000,Río Negro,Delitos contra el estado civil,0
2000,Río Negro,Delitos contra el honor,3
2000,Río Negro,Delitos contra el orden público,30
2000,Río Negro,Delitos contra la administración pública,268
2000,Río Negro,Delitos contra la fe pública,228
2000,Río Negro,Delitos contra la seguridad de la nación,0
2000,Río Negro,Delitos contra la seguridad pública,205
2000,Río Negro,Delitos contra los poderes públicos y el orden constitucional,0
2000,Río Negro,Delitos previstos en otras leyes,223
2000,Río Negro,Homicidios culposos por otros hechos,1
2000,Río Negro,Homicidios dolosos,44
2000,Río Negro,Homicidios dolosos en grado de tentativa,14
2000,Río Negro,Hurtos,5472
2000,Río Negro,Lesiones culposas en Accidentes Viales,464
2000,Río Negro,Lesiones culposas por otros hechos,30
2000,Río Negro,Lesiones dolosas,1650
2000,Río Negro,Ley 23.737 (estupefacientes),50
2000,Río Negro,Muertes en accidentes viales,67
2000,Río Negro,Otros delitos contra la integridad sexual,115
2000,Río Negro,Otros delitos contra la libertad,198
2000,Río Negro,Otros delitos contra la propiedad,1661
2000,Río Negro,Otros delitos contra las personas,134
2000,Río Negro,Robos (excluye los agravados por el resultado de lesiones y/o muertes),4386
2000,Río Negro,Robos agravados por el resultado de lesiones y/o muertes,819
2000,Río Negro,Suicidios (consumados),56
2000,Río Negro,Tentativas de hurto,158
2000,Río Negro,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),425
2000,Río Negro,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0
2000,Salta,Abusos sexuales con acceso carnal (violaciones),201
2000,Salta,Amenazas,4501
2000,Salta,Contravenciones,6550
2000,Salta,Delitos contra el estado civil,0
2000,Salta,Delitos contra el honor,6
2000,Salta,Delitos contra el orden público,17
2000,Salta,Delitos contra la administración pública,538
2000,Salta,Delitos contra la fe pública,414
2000,Salta,Delitos contra la seguridad de la nación,4
2000,Salta,Delitos contra la seguridad pública,162
2000,Salta,Delitos contra los poderes públicos y el orden constitucional,0
2000,Salta,Delitos previstos en otras leyes,261
2000,Salta,Homicidios culposos por otros hechos,0
2000,Salta,Homicidios dolosos,40
2000,Salta,Homicidios dolosos en grado de tentativa,0
2000,Salta,Hurtos,7386
2000,Salta,Lesiones culposas en Accidentes Viales,1252
2000,Salta,Lesiones culposas por otros hechos,735
2000,Salta,Lesiones dolosas,4072
2000,Salta,Ley 23.737 (estupefacientes),290
2000,Salta,Muertes en accidentes viales,87
2000,Salta,Otros delitos contra la integridad sexual,536
2000,Salta,Otros delitos contra la libertad,1101
2000,Salta,Otros delitos contra la propiedad,3945
